SN,Date,Venue,City,State,Country,Set 1,Set 2,Set 3,Encore,Show Number
1633,3/17/93,Capital Centre,Landover`,MD,US,"Shakedown Street, Wang Dang Doodle, Lazy River Road, Desolation Row, Ramble On Rose, Eternity, Liberty","Picasso Moon, Crazy Fingers, Playing In The Band, Dark Star, Drums, The Other One, Days Between, Good Lovin",No Set 3,Lucy In The Sky With Diamonds,1
1634,3/18/93,Capital Centre,Landover`,MD,US,"Hell In A Bucket, Sugaree, Walkin Blues, Broken Arrow, Loose Lucy, When I Paint My Masterpiece, Friend Of The Devil, The Music Never Stopped","China Cat Sunflower, I Know You Rider, Way To Go Home, Wave To The Wind, Estimated Prophet, Terrapin Station, Drums, Corrina, Wharf Rat, Throwing Stones, Not Fade Away",No Set 3,I Fought The Law,1
1635,3/20/93,The Omni,Atlanta,GA,US,"Mississippi Half Step Uptown Toodeloo, Its All Over Now, So Many Roads, Me And My Uncle, Maggies Farm, Bird Song, The Promised Land","Eyes Of The World, Looks Like Rain, Lazy River Road, Truckin, Smokestack Lightnin, Drums, The Wheel, All Along The Watchtower, Standing On The Moon, One More Saturday Night",No Set 3,Liberty,1
1636,3/21/93,The Omni,Atlanta,GA,US,"Feel Like A Stranger, West L.A. Fadeaway, Black Throated Wind, Candyman, Queen Jane Approximately, Brown Eyed Women, Eternity, Liberty","Samson And Delilah, Way To Go Home, Broken Arrow, Saint Of Circumstance, Hes Gone, Drums, I Need A Miracle, Days Between, Around And Around",No Set 3,"Baba Oriley, Tomorrow Never Knows",1
1637,3/24/93,Dean Smith Center,Chapel Hill,NC,US,"Jack Straw, Stagger Lee, Wang Dang Doodle, It Must Have Been The Roses, Stuck Inside A Mobile With The Memphis Blues Again, Tennessee Jed, Let It Grow","Here Comes Sunshine, Playing In The Band, Box Of Rain, Crazy Fingers, Drums, Spanish Jam, Goin Down The Road Feeling Bad, Throwing Stones, Not Fade Away",No Set 3,Lucy In The Sky With Diamonds,1
1638,3/25/93,Dean Smith Center,Chapel Hill,NC,US,"Touch Of Grey, Greatest Story Ever Told, So Many Roads, New Minglewood Blues, Lazy River Road, Mexicali Blues, Big River, Friend Of The Devil, Eternity, Liberty","China Cat Sunflower, I Know You Rider, Man Smart (Woman Smarter), Wave To The Wind, Terrapin Station, Drums, Way To Go Home, The Other One, Morning Dew",No Set 3,The Weight,1
1639,3/27/93,Knickerbocker Arena,Albany,NY,US,"Hell In A Bucket, Bertha, The Same Thing, Peggy O, Queen Jane Approximately, Broken Arrow, Loose Lucy, Cassidy, Casey Jones","Eyes Of The World, Estimated Prophet, Comes A Time, Corrina, Drums, The Wheel, All Along The Watchtower, Days Between, One More Saturday Night",No Set 3,I Fought The Law,1
1640,3/28/93,Knickerbocker Arena,Albany,NY,US,"Mississippi Half Step Uptown Toodeloo, Walkin Blues, So Many Roads, When I Paint My Masterpiece, High Time, Eternity, Deal","Scarlet Begonias> , Fire On The Mountain, Samson And Delilah, Ship Of Fools, Wave To The Wind> , Truckin> , Drums> , Space> , Way To Go Home, Attics Of My Life> , Turn On Your Lovelight",No Set 3,Knockin On Heavens Door,1
1641,3/29/93,Knickerbocker Arena,Albany,NY,US,"Let The Good Times Roll, Feel Like A Stranger, Loser, Little Red Rooster, Ramble On Rose, Black Throated Wind, Lazy River Road, Johnny B. Goode","Here Comes Sunshine, Looks Like Rain, Box Of Rain, Hes Gone, Drums, The Last Time, Wharf Rat, Throwing Stones, Not Fade Away",No Set 3,Liberty,1
1642,3/31/93,Nassau Veterans Memorial Coliseum,Uniondale,NY,US,"Cold Rain And Snow, Wang Dang Doodle, Althea, Its All Over Now, Row Jimmy, Let It Grow","Cumberland Blues, Truckin, Lazy River Road, Playing In The Band, Uncle Johns Band, Drums, I Need A Miracle, Standing On The Moon, Sugar Magnolia",No Set 3,I Fought The Law,1
1643,4/1/93,Nassau Veterans Memorial Coliseum,Uniondale,NY,US,"Jack Straw, They Love Each Other, New Minglewood Blues, Candyman, Desolation Row, Stagger Lee, Eternity, Liberty","Iko Iko, Saint Of Circumstance, Crazy Fingers, Wave To The Wind, Drums, Way To Go Home, Days Between, Turn On Your Lovelight",No Set 3,Rain,1
1644,4/2/93,Nassau Veterans Memorial Coliseum,Uniondale,NY,US,"Help On The Way> , Slipknot!> , Franklins Tower> , The Same Thing, Jack A Roe, Queen Jane Approximately, Brown Eyed Women, Picasso Moon","Scarlet Begonias> , Fire On The Mountain, Man Smart (Woman Smarter)> , Terrapin Station> , Corrina> , Drums> , Space> , The Last Time> , Black Peter> , Around And Around",No Set 3,Brokedown Palace,1
1645,4/4/93,Nassau Veterans Memorial Coliseum,Uniondale,NY,US,"In The Midnight Hour, Sugaree, Walkin Blues, Dire Wolf, When I Paint My Masterpiece, So Many Roads, Eternity, Bird Song","Eyes Of The World, Samson And Delilah, Broken Arrow, Estimated Prophet, Drums, The Other One, Attics Of My Life, Throwing Stones, Not Fade Away",No Set 3,Liberty,1
