SN,Date,Venue,City,State,Country,Set 1,Set 2,Set 3,Encore,Show Number
702,12/1/79,Stanley Theatre,Pittsburgh,PA,US,"Jack Straw, Sugaree, Me And My Uncle, Big River, Loser, Easy To Love You, New Minglewood Blues, Althea, The Music Never Stopped","China Cat Sunflower, I Know You Rider, Looks Like Rain, Hes Gone, C.C. Rider, Drums, Not Fade Away, Black Peter, Sugar Magnolia",No Set 3,One More Saturday Night,1
703,12/3/79,Uptown Theatre,Chicago,IL,US,"Alabama Getaway> , The Promised Land, Brown Eyed Women, El Paso, Ramble On Rose, Its All Over Now, Jack A Roe, Lazy Lightnin> , Supplication, Althea, The Music Never Stopped","Scarlet Begonias> , Fire On The Mountain, Samson And Delilah, Terrapin Station> , Playing In The Band> , Drums> , Space> , Lost Sailor> , Saint Of Circumstance> , Wharf Rat> , Truckin",No Set 3,Johnny B. Goode,1
704,12/4/79,Uptown Theatre,Chicago,IL,US,"Jack Straw, Peggy O, Mama Tried, Mexicali Blues, They Love Each Other, New Minglewood Blues, Stagger Lee, Passenger, Deal","China Cat Sunflower, I Know You Rider, Looks Like Rain, Estimated Prophet, Franklins Tower, Drums, Not Fade Away, Stella Blue, Sugar Magnolia",No Set 3,U.S. Blues,1
705,12/5/79,Uptown Theatre,Chicago,IL,US,"Alabama Getaway, Greatest Story Ever Told, Dire Wolf, Me And My Uncle, Big River, Cold Rain And Snow, Easy To Love You, Althea, Lost Sailor, Saint Of Circumstance","Shakedown Street, Samson And Delilah, Ship Of Fools, Hes Gone, The Other One, Drums, Black Peter, I Need A Miracle, Bertha, Good Lovin",No Set 3,"Johnny B. Goode, Dont Ease Me In",1
706,12/7/79,Indiana Convention Center,Indianapolis,IN,US,"New Minglewood Blues, Tennessee Jed, Me And My Uncle, Big River, Dont Ease Me In, El Paso, Big Railroad Blues, Easy To Love You, Its All Over Now, Althea, The Music Never Stopped","China Cat Sunflower, I Know You Rider, Eyes Of The World, Lost Sailor, Saint Of Circumstance, Drums, Wharf Rat, Around And Around, Johnny B. Goode",No Set 3,U.S. Blues,1
707,12/9/79,Kiel Auditorium,St. Louis,MO,US,"Alabama Getaway, The Promised Land, Brown Eyed Women, Cassidy, Row Jimmy, New Minglewood Blues, Candyman, Lazy Lightnin, Supplication, Deal","Shakedown Street, Samson And Delilah, High Time, Easy To Love You, Terrapin Station, Lost Sailor, Saint Of Circumstance, Drums, Black Peter, I Need A Miracle, Bertha, Good Lovin",No Set 3,Dont Ease Me In,1
708,12/10/79,Soldiers & Sailors Memorial Hall,Kansas City,KS,US,"Cold Rain And Snow> , Greatest Story Ever Told, Peggy O, Mama Tried> , Mexicali Blues, Tennessee Jed, Dancing In The Street> , Franklins Tower> , Looks Like Rain> , Deal","Scarlet Begonias> , Fire On The Mountain, Easy To Love You> , Let It Grow> , Hes Gone> , Truckin> , Drums> , Space> , Wharf Rat> , Johnny B. Goode",No Set 3,U.S. Blues,1
709,12/11/79,Soldiers & Sailors Memorial Hall,Kansas City,KS,US,"Jack Straw, Loser, Me And My Uncle, Big River, Althea, Easy To Love You, New Minglewood Blues, China Cat Sunflower, I Know You Rider","Shakedown Street, Samson And Delilah, Ship Of Fools, Terrapin Station, Lost Sailor, Saint Of Circumstance, Drums, Not Fade Away, Black Peter, Sugar Magnolia",No Set 3,"Alabama Getaway, The Promised Land",1
710,12/26/79,Oakland Auditorium Arena,Oakland,CA,US,"Cold Rain And Snow, C.C. Rider, Dire Wolf, Me And My Uncle, Big River, Brown Eyed Women, New Minglewood Blues, Friend Of The Devil, Looks Like Rain, Alabama Getaway, The Promised Land","Uncle Johns Band, Estimated Prophet, Hes Gone, The Other One, Drums, Not Fade Away, Brokedown Palace, Around And Around, Johnny B. Goode",No Set 3,"Shakedown Street, Uncle Johns Band",1
711,12/27/79,Oakland Auditorium Arena,Oakland,CA,US,"Jack Straw, They Love Each Other, Cassidy, Peggy O, El Paso, Dont Ease Me In, Beat It On Down The Line, Deal","China Cat Sunflower, I Know You Rider, Samson And Delilah, Eyes Of The World, Lost Sailor, Saint Of Circumstance, Drums, Black Peter, Sugar Magnolia",No Set 3,"U.S. Blues, Brokedown Palace",1
712,12/28/79,Oakland Auditorium Arena,Oakland,CA,US,"Sugaree, Mama Tried, Mexicali Blues, Row Jimmy, Its All Over Now, High Time, The Music Never Stopped","Alabama Getaway, Greatest Story Ever Told, Terrapin Station, Playing In The Band, Drums, Uncle Johns Band, I Need A Miracle, Bertha, Good Lovin",No Set 3,"Casey Jones, One More Saturday Night",1
713,12/30/79,Oakland Auditorium Arena,Oakland,CA,US,"New Minglewood Blues, Candyman, Me And My Uncle> , Big River, Ramble On Rose, Lazy Lightnin> , Supplication, Deal","Scarlet Begonias> , Fire On The Mountain> , Let It Grow> , Drums> , Space> , Truckin> , Wharf Rat> , Around And Around> , Johnny B. Goode",No Set 3,"Dont Ease Me In, Brokedown Palace",1
714,12/31/79,Oakland Auditorium Arena,Oakland,CA,US,"Jack Straw, Franklins Tower, Mama Tried, Mexicali Blues, Tennessee Jed, Looks Like Rain, Alabama Getaway, The Promised Land","Sugar Magnolia, China Cat Sunflower, I Know You Rider, Samson And Delilah, Ship Of Fools, Lost Sailor, Saint Of Circumstance, Deal","Althea, New Minglewood Blues, Uncle Johns Band, Drums, Not Fade Away, Stella Blue, Sunshine Daydream",Good Lovin,1
715,1/13/80,Oakland Coliseum Arena,Oakland,CA,US,"Jack Straw, Franklins Tower, New Minglewood Blues, Tennessee Jed, Looks Like Rain, Dont Ease Me In, Playing In The Band, Drums, Not Fade Away, Sugar Magnolia",U.S. Blues,No Set 3,No Encore,1
716,3/30/80,Capitol Theatre,Passaic,NJ,US,"Alabama Getaway> , The Promised Land, Peggy O, Cassidy, Loser, El Paso, Far From Me, Tennessee Jed, New Minglewood Blues, Althea, Lost Sailor> , Saint Of Circumstance","Scarlet Begonias> , Fire On The Mountain, Estimated Prophet> , Eyes Of The World> , Drums> , Black Peter> , Sugar Magnolia",No Set 3,U.S. Blues,1
717,3/31/80,Capitol Theatre,Passaic,NJ,US,"Jack Straw, They Love Each Other, Mama Tried, Mexicali Blues, Brown Eyed Women, Feel Like A Stranger, Far From Me, Althea, Lost Sailor, Saint Of Circumstance","Dont Ease Me In, Samson And Delilah, Terrapin Station, Playing In The Band, Drums, Wharf Rat, Good Lovin",No Set 3,Johnny B. Goode,1
718,4/1/80,Capitol Theatre,Passaic,NJ,US,"The Promised Land, Candyman, Me And My Uncle, Big River, Friend Of The Devil, Its All Over Now, Dont Ease Me In, Looks Like Rain, Deal","Feel Like A Stranger, China Cat Sunflower, I Know You Rider, Estimated Prophet, Hes Gone, The Other One, Drums, Stella Blue, Around And Around",No Set 3,Shakedown Street,1
719,4/28/80,Boutwell Auditorium,Birmingham,AL,US,"Alabama Getaway, The Promised Land, They Love Each Other, El Paso, Althea, Looks Like Rain, Tennessee Jed, Far From Me, Feel Like A Stranger, Deal","China Cat Sunflower, I Know You Rider, Samson And Delilah, Hes Gone, The Other One, Drums, Black Peter, Sugar Magnolia",No Set 3,Goin Down The Road Feeling Bad,1
720,4/29/80,Fox Theatre,Atlanta,GA,US,"Jack Straw, Friend Of The Devil, Mama Tried, Mexicali Blues, Peggy O, Passenger, Brown Eyed Women, Far From Me, The Music Never Stopped","Dont Ease Me In, New Minglewood Blues, Ramble On Rose, Lost Sailor, Saint Of Circumstance, Terrapin Station, Drums, I Need A Miracle, Bertha, Good Lovin",No Set 3,U.S. Blues,1
721,5/1/80,Greensboro Coliseum,Greensboro,NC,US,"Alabama Getaway, The Promised Land, Candyman, Me And My Uncle, Big River, Althea, Easy To Love You, New Minglewood Blues, Sugaree, Lost Sailor, Saint Of Circumstance, Deal","Feel Like A Stranger, Dont Ease Me In, Estimated Prophet, Uncle Johns Band, Drums, Wharf Rat, Around And Around, Johnny B. Goode",No Set 3,Brokedown Palace,1
722,5/2/80,Hampton Coliseum,Hampton,VA,US,"New Minglewood Blues, Loser, Mama Tried, Mexicali Blues, Friend Of The Devil, Far From Me, Looks Like Rain, Althea, The Music Never Stopped","Alabama Getaway, Feel Like A Stranger, Eyes Of The World, Drums, Not Fade Away, Stella Blue, I Need A Miracle, Bertha, Good Lovin",No Set 3,Johnny B. Goode,1
723,5/4/80,Baltimore Civic Center,Baltimore,MD,US,"Mississippi Half Step Uptown Toodeloo> , Franklins Tower> , Feel Like A Stranger, Althea, El Paso, Easy To Love You, Brown Eyed Women, Its All Over Now, Dont Ease Me In, The Promised Land","Scarlet Begonias> , Fire On The Mountain, Samson And Delilah, Ship Of Fools, Playing In The Band> , Drums> , Space> , Black Peter> , Sugar Magnolia",No Set 3,U.S. Blues,1
724,5/6/80,Recreation Hall,State College,PA,US,"Alabama Getaway, Greatest Story Ever Told, Peggy O, Me And My Uncle, Big River, Loser, Far From Me, Lazy Lightnin, Supplication, Althea, Lost Sailor, Saint Of Circumstance","China Cat Sunflower, I Know You Rider, Feel Like A Stranger, Hes Gone, The Other One, Drums, Wharf Rat, Around And Around, Johnny B. Goode",No Set 3,Brokedown Palace,1
725,5/7/80,Barton Hall,Ithaca,NY,US,"Jack Straw, Tennessee Jed, Cassidy, Row Jimmy, El Paso, Easy To Love You, Althea, Feel Like A Stranger, Dont Ease Me In","Shakedown Street, Bertha, Playing In The Band, Terrapin Station, Drums, Saint Of Circumstance, Black Peter, Playing In The Band, Good Lovin",Alabama Getaway,No Encore,1
726,5/8/80,Glens Falls Civic Center,Glens Falls,NY,US,"Alabama Getaway, The Promised Land, Friend Of The Devil, Mama Tried, Mexicali Blues, High Time, Lazy Lightnin, Supplication, Ramble On Rose, Lost Sailor, Saint Of Circumstance","Uncle Johns Band, Estimated Prophet, Eyes Of The World, Drums, Truckin, Stella Blue, Around And Around, Johnny B. Goode",No Set 3,U.S. Blues,1
727,5/10/80,Hartford Civic Center,Hartford,CT,US,"New Minglewood Blues, Peggy O, Mexicali Blues, El Paso, Althea, Passenger, Far From Me, Lost Sailor, Saint Of Circumstance, Deal","China Cat Sunflower, I Know You Rider, Feel Like A Stranger, Comes A Time, Estimated Prophet, Hes Gone, Uncle Johns Band, Drums, Not Fade Away, Sugar Magnolia",No Set 3,"Alabama Getaway, One More Saturday Night",1
728,5/11/80,Cumberland County Civic Center,Portland,ME,US,"Alabama Getaway> , The Promised Land, They Love Each Other, Cassidy, Loser, Its All Over Now, Easy To Love You, Big Railroad Blues, Looks Like Rain, Dont Ease Me In> , The Music Never Stopped","Scarlet Begonias> , Fire On The Mountain, Feel Like A Stranger> , Terrapin Station> , Playing In The Band> , Drums> , Space> , Black Peter> , Goin Down The Road Feeling Bad> , Around And Around> , Johnny B. Goode",No Set 3,Brokedown Palace,1
729,5/12/80,Boston Garden,Boston,MA,US,"Jack Straw, Alabama Getaway, El Paso, Althea, Lazy Lightnin, Supplication, Far From Me, New Minglewood Blues, China Cat Sunflower, I Know You Rider","Feel Like A Stranger, Ship Of Fools, Estimated Prophet, Hes Gone, Drums, Saint Of Circumstance, Wharf Rat, Sugar Magnolia",No Set 3,U.S. Blues,1
730,5/14/80,Nassau Veterans Memorial Coliseum,Uniondale,NY,US,"Alabama Getaway, The Promised Land, Candyman, Mexicali Blues, El Paso, Tennessee Jed, Let It Grow, Althea, Easy To Love You, The Music Never Stopped","Feel Like A Stranger, Sugaree, Lost Sailor, Saint Of Circumstance, Comes A Time, The Other One, Drums, Black Peter, Around And Around, Johnny B. Goode",No Set 3,Dont Ease Me In,1
731,5/15/80,Nassau Veterans Memorial Coliseum,Uniondale,NY,US,"Jack Straw, Franklins Tower, Cassidy, They Love Each Other, Lazy Lightnin, Supplication, Peggy O, Far From Me, Feel Like A Stranger, Deal","Althea, Lost Sailor, Saint Of Circumstance, Terrapin Station, Playing In The Band, Uncle Johns Band, Drums, Not Fade Away, Goin Down The Road Feeling Bad, Good Lovin",No Set 3,Alabama Getaway,1
732,5/16/80,Nassau Veterans Memorial Coliseum,Uniondale,NY,US,"Alabama Getaway, The Promised Land, High Time, Me And My Uncle, Big River, Row Jimmy, New Minglewood Blues, Ramble On Rose, Looks Like Rain, China Cat Sunflower, I Know You Rider","Feel Like A Stranger, Althea, Lost Sailor, Saint Of Circumstance, Eyes Of The World, Drums, Truckin, Morning Dew, Around And Around, Johnny B. Goode",No Set 3,Brokedown Palace,1
733,5/29/80,Des Moines Civic Center,Des Moines,IA,US,"Alabama Getaway, The Promised Land, They Love Each Other, El Paso, Mexicali Blues, Candyman, New Minglewood Blues, Althea, Far From Me, Let It Grow, Deal","Feel Like A Stranger, Ship Of Fools, Estimated Prophet, Eyes Of The World, Drums, Lost Sailor, Saint Of Circumstance, Comes A Time, Around And Around, Johnny B. Goode",No Set 3,U.S. Blues,1
734,5/30/80,Milwaukee Auditorium,Milwaukee,WI,US,"Jack Straw> , Franklins Tower, Me And My Uncle> , Big River, Friend Of The Devil, Passenger, Easy To Love You, Althea, The Music Never Stopped","Scarlet Begonias> , Fire On The Mountain, Playing In The Band> , Drums> , Space> , Not Fade Away> , Black Peter> , Goin Down The Road Feeling Bad> , Good Lovin",No Set 3,Alabama Getaway,1
735,5/31/80,Metropolitan Center,Minneapolis,MN,US,"Alabama Getaway, The Promised Land, Peggy O, Cassidy, Loser, New Minglewood Blues, Far From Me, Althea, Looks Like Rain, Deal","Feel Like A Stranger, Ship Of Fools, Lost Sailor, Saint Of Circumstance, Wharf Rat, The Other One, Drums, I Need A Miracle, Bertha, Sugar Magnolia",No Set 3,"U.S. Blues, Brokedown Palace",1
736,6/5/80,Compton Terrace Amphitheatre,Tempe,AZ,US,"Alabama Getaway, The Promised Land, They Love Each Other, Mexicali Blues, El Paso, Tennessee Jed, New Minglewood Blues, Dont Ease Me In, Looks Like Rain, Easy To Love You, Althea, Feel Like A Stranger","China Cat Sunflower, I Know You Rider, Lost Sailor, Saint Of Circumstance, Terrapin Station, Drums, Truckin, Black Peter, Around And Around, Johnny B. Goode",No Set 3,U.S. Blues,1
737,6/7/80,Folsom Field,Boulder,CO,US,"Jack Straw, Friend Of The Devil, El Paso, Mama Tried, Ramble On Rose, Passenger, Far From Me, New Minglewood Blues, Loser, Feel Like A Stranger, Deal","Bertha, Greatest Story Ever Told, Althea, Lost Sailor, Saint Of Circumstance, Drums, Not Fade Away, Wharf Rat, Good Lovin",No Set 3,"Alabama Getaway, One More Saturday Night, U.S. Blues",1
738,6/8/80,Folsom Field,Boulder,CO,US,"Uncle Johns Band, Playing In The Band, Uncle Johns Band, Me And My Uncle, Mexicali Blues, Tennessee Jed, Samson And Delilah, Easy To Love You, Althea, Looks Like Rain, Deal","Feel Like A Stranger, Ship Of Fools, Estimated Prophet, Eyes Of The World, Drums, Saint Of Circumstance, Black Peter, Sugar Magnolia",No Set 3,"Alabama Getaway, Brokedown Palace",1
739,6/12/80,Portland Memorial Coliseum,Portland,OR,US,"Alabama Getaway> , The Promised Land, Peggy O> , El Paso, Brown Eyed Women, Cassidy, Far From Me, Althea> , Lost Sailor> , Saint Of Circumstance> , Deal","Drums> , Scarlet Begonias> , Fire On The Mountain> , Estimated Prophet> , Drums> , Space> , Not Fade Away> , Black Peter> , Around And Around> , Good Lovin",No Set 3,Johnny B. Goode,1
740,6/13/80,Seattle Center Arena,Seattle,WA,US,"New Minglewood Blues, Sugaree, Mama Tried, Mexicali Blues, Candyman, Passenger, Althea, Lost Sailor, Saint Of Circumstance, Deal","Dont Ease Me In, Let It Grow, China Cat Sunflower, I Know You Rider, C.C. Rider, Terrapin Station, Drums, The Other One, Wharf Rat, Sugar Magnolia",No Set 3,Alabama Getaway,1
741,6/14/80,Spokane Coliseum,Spokane,WA,US,"Big River, Far From Me, Big Railroad Blues, Looks Like Rain, Dont Ease Me In","Feel Like A Stranger, Ship Of Fools, Estimated Prophet, Eyes Of The World, Drums, Lost Sailor, Saint Of Circumstance, Stella Blue, Goin Down The Road Feeling Bad, Good Lovin",No Set 3,One More Saturday Night,1
742,6/19/80,West High Auditorium,Anchorage,AK,US,"Alabama Getaway, The Promised Land, They Love Each Other, El Paso, Tennessee Jed, Cassidy, Althea, Looks Like Rain, Far From Me, The Music Never Stopped","China Cat Sunflower, I Know You Rider, C.C. Rider, Peggy O, Lost Sailor, Saint Of Circumstance, Drums, Wharf Rat, I Need A Miracle, Bertha, Good Lovin",No Set 3,U.S. Blues,1
743,6/20/80,West High Auditorium,Anchorage,AK,US,"Jack Straw, Franklins Tower, Mama Tried, Mexicali Blues, Friend Of The Devil, Let It Grow, Althea, Easy To Love You, Lost Sailor, Saint Of Circumstance, Deal","Alabama Getaway, Greatest Story Ever Told, Ship Of Fools, Estimated Prophet, The Other One, Drums, Not Fade Away, Black Peter, Around And Around, Johnny B. Goode",No Set 3,Dont Ease Me In,1
744,6/21/80,West High Auditorium,Anchorage,AK,US,"Sugaree, New Minglewood Blues, Candyman, Me And My Uncle, Big River, Loser, Lazy Lightnin, Supplication, Far From Me, Ramble On Rose, Feel Like A Stranger","Big Railroad Blues, Samson And Delilah, Terrapin Station, Playing In The Band, Drums, Truckin, Stella Blue, Sugar Magnolia",No Set 3,"One More Saturday Night, Brokedown Palace",1
745,6/29/80,Pauley Pavilion,Los Angeles,CA,US,"Alabama Getaway> , The Promised Land, Loser, New Minglewood Blues, Althea, Looks Like Rain, Easy To Love You, Big Railroad Blues> , Lost Sailor> , Saint Of Circumstance> , Deal","Feel Like A Stranger, Dont Ease Me In, Estimated Prophet> , Scarlet Begonias> , Fire On The Mountain> , Drums> , The Other One> , Black Peter> , Sugar Magnolia",No Set 3,U.S. Blues,1
746,7/1/80,San Diego Sports Arena,San Diego,CA,US,"Jack Straw, Franklins Tower, El Paso, Tennessee Jed, Lazy Lightnin, Supplication, Althea, Lost Sailor, Saint Of Circumstance","China Cat Sunflower, I Know You Rider, C.C. Rider, Peggy O, Far From Me, Uncle Johns Band, Playing In The Band, Drums, Truckin, Wharf Rat, Around And Around, Good Lovin",No Set 3,"Alabama Getaway, Johnny B. Goode",1
747,8/16/80,Mississippi River Festival,Edwardsville,IL,US,"Alabama Getaway, The Promised Land, They Love Each Other, Me And My Uncle, El Paso, Althea, Looks Like Rain, Tennessee Jed, Easy To Love You, New Minglewood Blues, Deal","China Cat Sunflower, I Know You Rider, C.C. Rider, Ship Of Fools, Estimated Prophet, Hes Gone, Drums, The Other One, Black Peter, Sugar Magnolia",No Set 3,"Iko Iko, One More Saturday Night",1
748,8/17/80,Kansas City Municipal Auditorium Arena,Kansas City,MO,US,"Jack Straw> , Sugaree, Mama Tried> , Mexicali Blues, Peggy O, New Minglewood Blues, Friend Of The Devil, Far From Me> , Lost Sailor> , Saint Of Circumstance","Dont Ease Me In, Samson And Delilah, Scarlet Begonias> , Fire On The Mountain> , Drums> , Space> , The Wheel> , Truckin> , Wharf Rat> , Good Lovin",No Set 3,U.S. Blues,1
749,8/19/80,Uptown Theatre,Chicago,IL,US,"Mississippi Half Step Uptown Toodeloo, Franklins Tower, New Minglewood Blues, Dire Wolf, Cassidy, Row Jimmy, Me And My Uncle, Big River, Althea, Easy To Love You, Feel Like A Stranger","Little Red Rooster, China Cat Sunflower, I Know You Rider, Estimated Prophet, Eyes Of The World, Drums, Playing In The Band, Comes A Time, Playing In The Band, Around And Around, Alabama Getaway",No Set 3,Johnny B. Goode,1
750,8/20/80,Uptown Theatre,Chicago,IL,US,"Jack Straw, Loser, Beat It On Down The Line, Ramble On Rose, El Paso, Big Railroad Blues, Looks Like Rain, Far From Me, Let It Grow, Deal","Greatest Story Ever Told, Althea, Lost Sailor, Saint Of Circumstance, Terrapin Station, Drums, Not Fade Away, Morning Dew, Good Lovin",No Set 3,U.S. Blues,1
751,8/21/80,Uptown Theatre,Chicago,IL,US,"Cold Rain And Snow, New Minglewood Blues, High Time, Mama Tried, Mexicali Blues, Peggy O, Its All Over Now, Easy To Love You, Shakedown Street, The Promised Land","Drums, Uncle Johns Band, Truckin, The Other One, Drums, The Wheel, Uncle Johns Band, Sugar Magnolia",No Set 3,Alabama Getaway,1
752,8/23/80,Alpine Valley Music Theatre,East Troy,WI,US,"Alabama Getaway, The Promised Land, Candyman, Me And My Uncle, Big River, Tennessee Jed, Lazy Lightnin, Supplication, Althea, The Music Never Stopped","Dont Ease Me In, Lost Sailor, Saint Of Circumstance, Hes Gone, Drums, Wharf Rat, Around And Around, Good Lovin",No Set 3,One More Saturday Night,1
753,8/24/80,Grand Center,Grand Rapids,MI,US,"Jack Straw, They Love Each Other, Cassidy, Brown Eyed Women, Passenger, Peggy O, Looks Like Rain, Althea, Let It Grow, Deal","Samson And Delilah, Ship Of Fools, Feel Like A Stranger, China Cat Sunflower, I Know You Rider, Drums, Not Fade Away, Black Peter, Sugar Magnolia",No Set 3,Dont Ease Me In,1
754,8/26/80,Cleveland Public Hall,Cleveland,OH,US,"Sugaree, El Paso, Loser, Beat It On Down The Line, Althea, Lazy Lightnin, Supplication, Deal","Dont Ease Me In, Little Red Rooster, Far From Me, Uncle Johns Band, Playing In The Band, Drums, Comes A Time, Lost Sailor, Saint Of Circumstance, Casey Jones",No Set 3,Johnny B. Goode,1
755,8/27/80,Pine Knob Music Theatre,Clarkston,MI,US,"The Promised Land, They Love Each Other, Mama Tried, Mexicali Blues, Tennessee Jed, New Minglewood Blues, Althea, Looks Like Rain, Big Railroad Blues, Feel Like A Stranger","China Cat Sunflower, I Know You Rider, C.C. Rider, High Time, Estimated Prophet, Eyes Of The World, Drums, Not Fade Away, Stella Blue, I Need A Miracle, Bertha, Good Lovin",No Set 3,U.S. Blues,1
756,8/29/80,The Spectrum,Philadelphia,PA,US,"Alabama Getaway, The Promised Land, Candyman, Me And My Uncle, Big River, Row Jimmy, Little Red Rooster, Brown Eyed Women, Far From Me, Lost Sailor, Saint Of Circumstance, Deal","Greatest Story Ever Told, Althea, Let It Grow, Hes Gone, The Other One, Drums, Wharf Rat, Goin Down The Road Feeling Bad, Around And Around, Johnny B. Goode",No Set 3,U.S. Blues,1
757,8/30/80,The Spectrum,Philadelphia,PA,US,"Feel Like A Stranger, Peggy O, Cassidy, Friend Of The Devil, New Minglewood Blues, Cold Rain And Snow> , Looks Like Rain, Easy To Love You, Althea, Jack Straw","Scarlet Begonias> , Fire On The Mountain> , C.C. Rider, Ramble On Rose, Estimated Prophet> , Eyes Of The World> , Drums> , Space> , Not Fade Away> , Black Peter> , Sugar Magnolia",No Set 3,One More Saturday Night,1
758,8/31/80,Capital Centre,Landover`,MD,US,"Alabama Getaway, The Promised Land, They Love Each Other, Mama Tried, Mexicali Blues, Althea, Little Red Rooster, Tennessee Jed, Far From Me, Lazy Lightnin, Supplication, Deal","Greatest Story Ever Told, Uncle Johns Band, Lost Sailor, Saint Of Circumstance, Comes A Time, Truckin, Drums, The Other One, Stella Blue, I Need A Miracle, Good Lovin, Brokedown Palace",No Set 3,No Encore,1
759,9/2/80,Community War Memorial,Rochester,NY,US,"New Minglewood Blues, Sugaree, El Paso, Friend Of The Devil, Its All Over Now, China Cat Sunflower, I Know You Rider, Lost Sailor, Saint Of Circumstance, Dont Ease Me In","Althea, C.C. Rider, Ship Of Fools, Estimated Prophet, Terrapin Station, Playing In The Band, Drums, Iko Iko, Morning Dew, Sugar Magnolia",No Set 3,Alabama Getaway,1
760,9/3/80,Springfield Civic Center Arena,Springfield,MA,US,"Mississippi Half Step Uptown Toodeloo, Franklins Tower, Mama Tried, Mexicali Blues, Althea, Little Red Rooster, Candyman, Easy To Love You, Let It Grow, Deal","Feel Like A Stranger, High Time, Lost Sailor, Saint Of Circumstance, Drums, Hes Gone, Truckin, Black Peter, Around And Around, Johnny B. Goode",No Set 3,Brokedown Palace,1
761,9/4/80,Providence Civic Center,Providence,RI,US,"Feel Like A Stranger, Peggy O, Cassidy, Dire Wolf, New Minglewood Blues, Althea, Looks Like Rain, Far From Me, China Cat Sunflower, I Know You Rider","Samson And Delilah, Ramble On Rose, Supplication, Estimated Prophet, Eyes Of The World, Drums, The Other One, Wharf Rat, Goin Down The Road Feeling Bad, Good Lovin",No Set 3,U.S. Blues,1
762,9/6/80,State Fairgrounds,Lewiston,ME,US,"Alabama Getaway, Greatest Story Ever Told, Sugaree, Me And My Uncle, Mexicali Blues, Tennessee Jed, Feel Like A Stranger, Friend Of The Devil, Far From Me, Little Red Rooster, China Cat Sunflower, I Know You Rider, The Promised Land","Shakedown Street, Lost Sailor, Saint Of Circumstance, Althea, Playing In The Band, Uncle Johns Band, Drums, Not Fade Away, The Wheel, Uncle Johns Band, Playing In The Band, Sugar Magnolia",No Set 3,"One More Saturday Night, Brokedown Palace",1
763,9/25/80,Warfield Theater,San Francisco,CA,US,"Bird Song, Ive Been All Around This World, Dark Hollow, Rosalie Mcfall, Monkey And The Engineer, It Must Have Been The Roses, Jack A Roe, Oh Babe It Aint No Lie, Ripple","Alabama Getaway, Greatest Story Ever Told, Friend Of The Devil, Mama Tried, Mexicali Blues, Loser, Little Red Rooster, Althea, Jack Straw, Deal","China Cat Sunflower, I Know You Rider, Samson And Delilah, Ship Of Fools, Playing In The Band, Drums, Wharf Rat, Around And Around, Good Lovin",U.S. Blues,1
764,9/26/80,Warfield Theater,San Francisco,CA,US,"To Lay Me Down, On The Road Again, Ive Been All Around This World, Dark Hollow, Rosalie Mcfall, Bird Song, Cassidy, China Doll> , Ripple","Feel Like A Stranger, Sugaree, Me And My Uncle> , Big River, Peggy O, New Minglewood Blues, Candyman, Looks Like Rain, Tennessee Jed> , Lost Sailor> , Saint Of Circumstance","Scarlet Begonias> , Fire On The Mountain, Estimated Prophet> , Eyes Of The World> , Drums> , Space> , Not Fade Away> , Black Peter> , Sugar Magnolia",Brokedown Palace,1
765,9/27/80,Warfield Theater,San Francisco,CA,US,"Dire Wolf, The Race Is On, Jack A Roe, Monkey And The Engineer, It Must Have Been The Roses, Dark Hollow, Bird Song, To Lay Me Down, On The Road Again, Oh Babe It Aint No Lie, Ripple","Mississippi Half Step Uptown Toodeloo, Franklins Tower, Mama Tried, Mexicali Blues, Row Jimmy, Little Red Rooster, Althea, Let It Grow, Deal","Cold Rain And Snow, C.C. Rider, Ramble On Rose, Hes Gone, The Other One, Drums, Stella Blue, I Need A Miracle, Goin Down The Road Feeling Bad, Johnny B. Goode",One More Saturday Night,1
766,9/29/80,Warfield Theater,San Francisco,CA,US,"Dire Wolf, On The Road Again, Bird Song, Cassidy, Ive Been All Around This World, Heaven Help The Fool, To Lay Me Down, Dark Hollow, Oh Babe It Aint No Lie, Ripple","Jack Straw, They Love Each Other, El Paso, Brown Eyed Women, Its All Over Now, Candyman, New Minglewood Blues, China Cat Sunflower, I Know You Rider","Althea, Lost Sailor, Saint Of Circumstance, Terrapin Station, Drums, Truckin, Wharf Rat, Around And Around, Johnny B. Goode",U.S. Blues,1
767,9/30/80,Warfield Theater,San Francisco,CA,US,"On The Road Again, Jack A Roe, Monkey And The Engineer, Bird Song, Dark Hollow, Rosalie Mcfall, Heaven Help The Fool, China Doll, Oh Babe It Aint No Lie, Ripple","Alabama Getaway, The Promised Land, Peggy O, Beat It On Down The Line, Friend Of The Devil, Lazy Lightnin, Supplication, Loser, Little Red Rooster, Big Railroad Blues","Feel Like A Stranger, Franklins Tower, Samson And Delilah, Hes Gone, Estimated Prophet, Drums, The Other One, Black Peter, Good Lovin",Brokedown Palace,1
